Date,ITUB3,TOTS3,MDIA3,FLRY3,ENBR3,EGIE3,GRND3,RADL3,PSSA3,ODPV3,EZTC3,BBDC3,LREN3,ARZZ3,LEVE3,ABEV3,EQTL3,WEGE3,HGLG11,KNRI11,XPML11,HGRE11,HGRU11,XPIN11,VRTA11,BTLG11,VILG11,ALZR11,VINO11,XPLG11,BCRI11,RECR11,VISC11
2013-01-02 00:00:00-02:00,8.959284782409668,11.46210765838623,21.477108001708984,7.459640979766846,6.924200534820557,13.944239616394043,3.3870811462402344,4.272283554077148,6.303159713745117,7.944601535797119,12.33747673034668,8.133438110351562,10.94488525390625,31.135183334350586,14.951386451721191,11.399805068969727,3.152813673019409,3.4492616653442383,115.82611083984375,,,166.7339630126953,,,,,,,,,,,
2013-01-03 00:00:00-02:00,9.19820785522461,11.439730644226074,21.477108001708984,7.393479824066162,6.870441913604736,14.090409278869629,3.3211112022399902,4.254101753234863,6.383286476135254,8.088922500610352,12.388705253601074,8.580061912536621,10.96532154083252,31.01754379272461,14.905168533325195,11.60191822052002,3.2005577087402344,3.603705883026123,115.82611083984375,,,166.1766357421875,,,,,,,,,,,
2013-01-04 00:00:00-02:00,9.385927200317383,11.160028457641602,21.79579734802246,7.31077766418457,6.47799825668335,13.806427955627441,3.360280990600586,4.199562072753906,6.409994125366211,7.944601535797119,12.435285568237305,8.559187889099121,10.951702117919922,31.213619232177734,14.899388313293457,11.410654067993164,3.032628059387207,3.560807228088379,117.45491027832031,,,166.08375549316406,,,,,,,,,,,
2013-01-07 00:00:00-02:00,9.536666870117188,11.157234191894531,22.031354904174805,7.31077766418457,6.241457462310791,13.489039421081543,3.463357925415039,4.181382179260254,6.369930267333984,8.153862953186035,12.202412605285645,8.357444763183594,10.765083312988281,31.331241607666016,15.072702407836914,11.542236328125,2.963479518890381,3.5179035663604736,116.73101043701172,,,166.26954650878906,,,,,,,,,,,
2013-01-08 00:00:00-02:00,9.582176208496094,11.22995376586914,21.962078094482422,7.261157035827637,6.1823225021362305,13.363750457763672,3.473663568496704,4.181382179260254,6.540863037109375,7.966251850128174,12.295557022094727,8.329620361328125,10.707874298095703,29.927427291870117,14.78962516784668,11.528668403625488,2.930551767349243,3.3769426345825195,117.45491027832031,,,165.8050994873047,,,,,,,,,,,
2013-01-09 00:00:00-02:00,9.88366413116455,11.263520240783691,22.419328689575195,7.3769378662109375,6.316720008850098,14.052824020385742,3.479848861694336,4.208652973175049,6.287134170532227,8.096137046813965,12.10926342010498,8.515131950378418,10.929905891418457,31.01754379272461,14.962936401367188,11.706367492675781,3.093543291091919,3.4026827812194824,117.45491027832031,,,165.3406524658203,,,,,,,,,,,
2013-01-10 00:00:00-02:00,9.54804515838623,11.243940353393555,22.25582504272461,7.367015361785889,6.316720008850098,14.386917114257812,3.455111265182495,4.181382179260254,6.369930267333984,7.922952651977539,12.062687873840332,8.461795806884766,10.908113479614258,30.154861450195312,14.905168533325195,11.681950569152832,3.0951895713806152,3.3291385173797607,117.1834487915039,,,165.8050994873047,,,,,,,,,,,
2013-01-11 00:00:00-02:00,9.636219024658203,11.257925033569336,21.937137603759766,7.489412784576416,6.1876983642578125,14.558135986328125,3.483973741531372,4.217742443084717,6.305831432342529,7.61989164352417,12.202412605285645,8.371362686157227,10.871330261230469,30.115642547607422,14.760733604431152,11.543591499328613,3.1445813179016113,3.370814800262451,117.1834487915039,,,165.3406524658203,,,,,,,,,,,
2013-01-14 00:00:00-02:00,9.676034927368164,11.29987907409668,21.89279556274414,7.525800704956055,6.289840221405029,14.616604804992676,3.537571430206299,4.263193607330322,6.3218560218811035,7.504438877105713,12.211730003356934,8.498903274536133,10.884955406188965,29.652936935424805,15.043819427490234,11.597848892211914,3.1363494396209717,3.3279130458831787,116.73101043701172,,,165.7075653076172,,,,,,,,,,,
2013-01-15 00:00:00-02:00,9.670345306396484,11.355816841125488,21.78194808959961,7.4100189208984375,6.289840221405029,14.825416564941406,3.5355095863342285,4.317731857299805,6.303159713745117,7.2158074378967285,12.25830078125,8.399187088012695,10.481758117675781,29.174531936645508,14.841620445251465,11.634474754333496,3.157752275466919,3.3095264434814453,117.63589477539062,,,166.26954650878906,,,,,,,,,,,
2013-01-16 00:00:00-02:00,9.664664268493652,11.439730644226074,22.100635528564453,7.436481952667236,6.230705738067627,14.57484245300293,3.5767405033111572,4.308642864227295,6.409994125366211,7.11478328704834,12.542403221130371,8.46412467956543,10.62477970123291,29.16668128967285,15.194028854370117,11.922046661376953,3.128117561340332,3.370814800262451,116.73101043701172,,,166.27044677734375,,,,,,,,,,,
2013-01-17 00:00:00-02:00,9.866598129272461,11.806136131286621,21.77086067199707,7.449715614318848,6.434990882873535,14.7418851852417,3.607663869857788,4.192291259765625,6.276451587677002,7.432283878326416,12.575005531311035,8.524410247802734,10.720131874084473,28.954940795898438,15.043819427490234,12.038704872131348,3.1363494396209717,3.325460195541382,118.5407943725586,,,166.5482177734375,,,,,,,,,,,
2013-01-18 00:00:00-02:00,9.855220794677734,12.124996185302734,21.945446014404297,7.443099498748779,6.531757354736328,14.78365421295166,3.5994179248809814,4.217742443084717,6.1162028312683105,7.3601250648498535,12.57966136932373,8.580061912536621,10.698338508605957,29.433340072631836,15.049592971801758,12.16756820678711,3.125532388687134,3.3095264434814453,118.5407943725586,,,166.36239624023438,,,,,,,,,,,
