Date,GOOGL,HD,PG,FAST,JNJ,GNTX,V,ADBE,NDSN,CMG,APD,AMZN,KO,NKE,ROST,MSFT,COST,META,PEP,TXN,CSCO,AAPL,DG,ANSS,MCD,MA,AVB,LTC,NNN,EPR,VTR,AMT,ADC,ESS,WPC,NHI,CPT,PLD,WELL,MPW,LSI,LAMR,OHI,CCI,GTY,PSA,TRNO,EGP,FRT,EQIX
2013-09-16 00:00:00-04:00,22.216215133666992,61.348236083984375,60.78955841064453,19.680971145629883,69.38922119140625,10.515216827392578,44.409976959228516,48.13999938964844,66.5020751953125,423.4599914550781,79.59832000732422,14.803000450134277,28.980684280395508,30.838964462280273,32.462257385253906,27.654630661010742,97.18537902832031,42.5099983215332,62.090354919433594,31.441253662109375,18.107589721679688,14.089956283569336,52.471763610839844,88.02999877929688,76.08406829833984,63.32050704956055,95.58097076416016,22.45945930480957,20.142332077026367,28.931406021118164,46.55582809448242,61.66476058959961,18.445573806762695,114.57335662841797,37.177249908447266,33.150978088378906,45.386837005615234,28.491159439086914,41.28458023071289,6.717245578765869,32.94870376586914,28.537683486938477,14.708475112915039,51.431941986083984,11.526626586914062,111.47180938720703,13.52899169921875,44.05260467529297,73.39289855957031,137.4584197998047
2013-09-17 00:00:00-04:00,22.174924850463867,61.55936813354492,60.539306640625,19.665313720703125,69.41259002685547,10.653244018554688,44.930572509765625,48.13999938964844,67.1026611328125,425.4100036621094,78.529541015625,15.208499908447266,28.928482055664062,30.897754669189453,32.59046936035156,27.764232635498047,97.64916229248047,45.06999969482422,62.5807991027832,31.658870697021484,18.100168228149414,14.252731323242188,52.77554702758789,87.83999633789062,76.2475814819336,64.09150695800781,94.98551177978516,22.483627319335938,20.006011962890625,28.481544494628906,46.30547332763672,61.3741569519043,18.576486587524414,114.12081909179688,36.97687530517578,33.33290100097656,44.76597213745117,28.66674041748047,41.29115295410156,6.71174955368042,33.01329040527344,28.682682037353516,14.853951454162598,51.395450592041016,11.734757423400879,112.13665771484375,13.50544261932373,43.70616912841797,73.51696014404297,138.39190673828125
2013-09-18 00:00:00-04:00,22.605606079101562,62.83443069458008,60.895748138427734,19.904081344604492,70.0750961303711,10.678336143493652,45.41130065917969,52.58000183105469,67.78514862060547,426.2300109863281,80.61550903320312,15.601499557495117,29.525102615356445,31.422372817993164,33.0713005065918,28.093048095703125,98.25373840332031,45.22999954223633,63.51576614379883,31.752151489257812,18.419540405273438,14.545723915100098,53.318687438964844,87.3499984741211,76.8549575805664,64.8907699584961,99.12428283691406,23.342439651489258,20.70058250427246,29.45136833190918,48.25666809082031,62.893550872802734,19.420873641967773,118.55590057373047,37.915767669677734,34.58875274658203,46.042232513427734,29.895854949951172,43.111846923828125,7.014078617095947,34.582069396972656,29.17038345336914,15.175009727478027,51.5048828125,12.26119613647461,117.1514663696289,13.348395347595215,45.159751892089844,76.62548065185547,141.7935791015625
2013-09-19 00:00:00-04:00,22.48223114013672,63.76023864746094,60.759239196777344,19.954967498779297,70.1998062133789,10.866562843322754,45.65987777709961,51.869998931884766,67.4666519165039,421.70001220703125,81.0946273803711,15.602999687194824,29.31629180908203,31.431415557861328,33.126251220703125,28.36285400390625,98.71749877929688,45.97999954223633,62.70344161987305,31.71327781677246,18.278419494628906,14.784246444702148,53.84340286254883,86.6500015258789,76.2475814819336,64.7709732055664,99.46978759765625,23.330289840698242,20.35004234313965,29.43385124206543,47.3657341003418,62.351905822753906,19.65652084350586,117.46977996826172,37.60089111328125,34.31293869018555,46.20779037475586,29.68973159790039,42.98038864135742,6.981099605560303,35.09422302246094,30.673059463500977,15.139892578125,51.94990539550781,12.224467277526855,117.4132080078125,13.678181648254395,45.144683837890625,76.75045013427734,144.9974365234375
2013-09-20 00:00:00-04:00,22.60034942626953,62.533912658691406,60.205631256103516,19.633991241455078,69.89580535888672,10.82473373413086,46.62602615356445,52.310001373291016,67.40299987792969,415.0799865722656,80.02581787109375,15.817000389099121,29.383411407470703,31.372621536254883,32.778221130371094,27.646190643310547,97.67399597167969,47.4900016784668,62.64211654663086,31.49564552307129,18.20414924621582,14.631179809570312,53.07012939453125,86.05999755859375,75.4533462524414,64.71150207519531,97.80103302001953,22.978282928466797,20.194257736206055,29.422163009643555,46.334938049316406,61.60185623168945,19.473241806030273,115.0184097290039,38.127567291259766,33.83171463012695,44.9039421081543,29.078994750976562,41.889286041259766,6.766716957092285,34.82659912109375,30.580791473388672,14.889068603515625,51.519474029541016,12.212224960327148,115.8783187866211,14.078636169433594,44.707855224609375,75.54479217529297,145.58291625976562
2013-09-23 00:00:00-04:00,22.18468475341797,61.648704528808594,60.1222038269043,19.48917007446289,69.43598175048828,10.728532791137695,46.0186653137207,51.79999923706055,67.40299987792969,415.239990234375,79.17819213867188,15.57450008392334,28.809160232543945,31.196243286132812,32.81944274902344,27.604032516479492,97.36758422851562,47.189998626708984,62.090354919433594,31.456785202026367,18.025897979736328,15.358335494995117,53.567230224609375,85.94000244140625,75.74927520751953,64.45198822021484,96.87479400634766,23.111804962158203,19.993030548095703,29.316999435424805,46.00359344482422,60.80183792114258,19.492877960205078,113.70599365234375,37.46349334716797,34.131019592285156,44.35894012451172,29.124799728393555,41.35687255859375,6.843673229217529,34.74356460571289,30.053531646728516,14.808799743652344,51.54136276245117,12.095922470092773,114.75371551513672,14.14930248260498,44.384002685546875,75.40508270263672,145.13194274902344
2013-09-24 00:00:00-04:00,22.193193435668945,61.754302978515625,59.621726989746094,19.543964385986328,68.75791931152344,10.732714653015137,45.33861541748047,51.41999816894531,67.73965454101562,418.760009765625,79.02338409423828,15.706500053405762,28.73458480834961,31.399763107299805,32.791961669921875,27.359527587890625,96.34893798828125,48.45000076293945,61.72248077392578,31.332416534423828,17.92934226989746,15.31013011932373,53.49359130859375,86.0,76.13859558105469,64.67657470703125,95.25017547607422,22.923656463623047,20.174785614013672,29.188465118408203,45.95207214355469,60.710182189941406,19.45359992980957,112.12957763671875,37.77264404296875,34.113407135009766,43.71045684814453,28.895774841308594,41.455474853515625,6.821685791015625,34.268314361572266,30.053531646728516,14.884053230285645,51.30791091918945,12.10828685760498,113.50178527832031,14.00796890258789,44.16558837890625,75.00812530517578,143.49436950683594
2013-09-25 00:00:00-04:00,21.95270347595215,61.331974029541016,58.939178466796875,19.414796829223633,67.86941528320312,10.665793418884277,44.92121124267578,51.869998931884766,67.00255584716797,415.5899963378906,79.10448455810547,15.632499694824219,28.585432052612305,31.16910743713379,32.85148620605469,27.410114288330078,95.57872772216797,49.459999084472656,61.46958541870117,31.340194702148438,18.144725799560547,15.073171615600586,52.471763610839844,86.69999694824219,76.01397705078125,63.40920639038086,96.24259185791016,22.844749450683594,20.49934196472168,29.205968856811523,46.3643913269043,61.47684097290039,19.80707359313965,113.40430450439453,37.93293380737305,34.089935302734375,43.579383850097656,29.002656936645508,41.685523986816406,6.915132999420166,34.59128189086914,30.706018447875977,14.939234733581543,52.11039352416992,12.10828685760498,114.77494049072266,13.843070983886719,44.436729431152344,74.68464660644531,143.66842651367188
2013-09-26 00:00:00-04:00,21.976226806640625,61.77864456176758,59.18943786621094,19.520475387573242,67.86161041259766,10.674156188964844,45.39019775390625,52.099998474121094,67.5849380493164,420.3399963378906,80.91770935058594,15.906000137329102,28.891199111938477,31.81130027770996,33.13541793823242,27.62932777404785,96.39864349365234,50.38999938964844,61.72248077392578,31.386831283569336,17.6545352935791,15.21998119354248,52.24162292480469,87.72000122070312,76.45783233642578,63.941463470458984,96.13141632080078,23.0875301361084,20.88881492614746,29.307594299316406,46.5926399230957,62.19353103637695,19.96632194519043,113.93653106689453,37.91552734375,34.2830924987793,44.164710998535156,29.39200210571289,41.882728576660156,6.744730472564697,34.80815505981445,31.022361755371094,14.969331741333008,53.255760192871094,12.151575088500977,115.29830169677734,13.929445266723633,44.87355422973633,75.30953216552734,145.203125
2013-09-27 00:00:00-04:00,21.931682586669922,61.68930435180664,58.552398681640625,19.571369171142578,67.59663391113281,10.64906120300293,45.270606994628906,52.029998779296875,66.82967376708984,419.0,79.38201904296875,15.80049991607666,28.63763427734375,33.303733825683594,33.222408294677734,28.050891876220703,95.83546447753906,51.2400016784668,61.46194076538086,31.215824127197266,17.327735900878906,15.111358642578125,52.09434127807617,86.48999786376953,75.62466430664062,64.34440612792969,95.83493041992188,23.142147064208984,20.707069396972656,29.0080623626709,46.13612747192383,62.10187530517578,19.860151290893555,113.7464599609375,38.28093719482422,34.11073684692383,43.87900924682617,29.23931312561035,41.52777099609375,6.73373556137085,34.711265563964844,31.04873275756836,15.124847412109375,53.0441780090332,12.077364921569824,115.00120544433594,14.00796890258789,44.722923278808594,75.19927978515625,145.66989135742188
